index,connection,timestamps,sizes,directions,file_name
11,"('10.184.62.19', 61211, '13.107.5.93', 443, 'TCP')","1727357704.221915,1727357705.222792,1727357707.222731,1727357711.229512","[66, 66, 66, 66]","[1, 1, 1, 1]",streaming_netflix.pcap
12,"('10.184.62.19', 61212, '13.107.5.93', 443, 'TCP')","1727357706.873274,1727357707.875806,1727357709.876447,1727357713.877486","[66, 66, 66, 66]","[1, 1, 1, 1]",streaming_netflix.pcap
13,"('10.184.62.19', 61234, '20.189.173.17', 443, 'TCP')","1727357716.243125,1727357716.481754,1727357716.482224,1727357716.751907,1727357716.994681,1727357716.994809,1727357716.995559,1727357716.995559,1727357716.995559,1727357716.995559,1727357717.274752,1727357718.277189,1727357718.882194,1727357718.882194,1727357718.882194,1727357719.165195,1727357720.123273,1727357721.360924,1727357722.601660,1727357723.838795,1727357724.122141,1727357724.359874","[66, 54, 571, 491, 54, 54, 590, 590, 590, 136, 54, 55, 590, 590, 583, 54, 55, 55, 55, 55, 54, 54]","[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",streaming_netflix.pcap
14,"('20.189.173.17', 443, '10.184.62.19', 61234, 'TCP')","1727357716.481616,1727357716.751303,1727357716.994620,1727357716.994620,1727357716.994620,1727357716.994620,1727357716.994778,1727357716.994778,1727357716.994778,1727357716.994778,1727357716.994778,1727357717.232505,1727357717.232505,1727357717.233564,1727357717.274715,1727357718.518960,1727357719.120662,1727357719.121509,1727357720.360768,1727357721.600026,1727357722.838727,1727357724.077162,1727357724.359830","[66, 153, 590, 590, 590, 590, 590, 590, 590, 590, 298, 54, 54, 157, 500, 66, 54, 499, 66, 66, 66, 66, 54]","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",streaming_netflix.pcap
15,"('10.184.62.19', 61245, '40.79.173.40', 443, 'TCP')","1727357733.814620,1727357733.980420,1727357733.981148,1727357733.981148,1727357733.981148,1727357733.981148,1727357734.153907,1727357734.153907,1727357734.462340,1727357734.621703,1727357734.624163,1727357734.624246,1727357734.624318,1727357734.624339,1727357734.624339,1727357734.624339,1727357734.801224,1727357734.801409,1727357735.008926,1727357735.432207","[66, 54, 590, 590, 590, 379, 590, 297, 54, 54, 128, 146, 545, 590, 590, 94, 54, 85, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]",streaming_netflix.pcap
16,"('40.79.173.40', 443, '10.184.62.19', 61245, 'TCP')","1727357733.980307,1727357734.142921,1727357734.142921,1727357734.152681,1727357734.314302,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.462281,1727357734.621662,1727357734.621662,1727357734.784042,1727357734.784042,1727357734.795625,1727357734.801200,1727357734.960427,1727357735.027881,1727357735.389215","[66, 54, 54, 153, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 554, 54, 54, 157, 116, 85, 54, 336]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]",streaming_netflix.pcap
17,"('10.184.62.19', 61089, '57.144.125.32', 443, 'TCP')",1727357735.962170,[54],[0],streaming_netflix.pcap
18,"('10.184.62.19', 61087, '31.13.79.53', 443, 'TCP')",1727357735.962189,[54],[0],streaming_netflix.pcap
19,"('10.184.62.19', 61084, '163.70.144.60', 443, 'TCP')",1727357735.962246,[54],[0],streaming_netflix.pcap
20,"('10.184.62.19', 61088, '157.240.16.52', 443, 'TCP')",1727357735.962300,[54],[0],streaming_netflix.pcap
