index,connection,timestamps,sizes,directions,file_name
28,"('142.251.10.84', 443, '10.184.62.19', 61294, 'TCP')","1727357863.074870,1727357863.143321,1727357863.143321,1727357863.143321,1727357863.143460,1727357863.144239,1727357863.144239,1727357863.144239,1727357863.145943,1727357863.145943,1727357863.145943,1727357863.145943,1727357863.145943,1727357863.145943,1727357863.145943,1727357863.212620,1727357863.281521,1727357863.281521,1727357863.281521,1727357863.285900,1727357863.294307,1727357863.297984,1727357863.297984,1727357863.297984,1727357863.298838,1727357863.356026,1727357863.367385,1727357877.335079","[66, 54, 54, 54, 54, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 83, 54, 590, 486, 85, 590, 590, 590, 137, 124, 54, 54, 54]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",streaming_spotify.pcap
29,"('10.184.62.19', 50060, '10.10.1.5', 53, 'UDP')",1727357863.089099,[80],[0],streaming_spotify.pcap
30,"('10.184.62.19', 56712, '10.10.1.5', 53, 'UDP')",1727357863.089256,[80],[0],streaming_spotify.pcap
31,"('10.184.62.19', 64200, '10.10.1.5', 53, 'UDP')",1727357863.098365,[81],[0],streaming_spotify.pcap
32,"('10.184.62.19', 55420, '10.10.1.5', 53, 'UDP')","1727357863.098473,1727357863.198608","[81, 77]","[0, 0]",streaming_spotify.pcap
33,"('10.184.62.19', 55130, '10.10.1.5', 53, 'UDP')",1727357863.106967,[83],[0],streaming_spotify.pcap
34,"('10.184.62.19', 60891, '10.10.1.5', 53, 'UDP')",1727357863.107492,[83],[0],streaming_spotify.pcap
35,"('10.10.1.5', 53, '10.184.62.19', 56712, 'UDP')",1727357863.121169,[80],[1],streaming_spotify.pcap
36,"('10.10.1.5', 53, '10.184.62.19', 50060, 'UDP')",1727357863.121169,[145],[1],streaming_spotify.pcap
37,"('10.184.62.19', 55537, '10.10.1.5', 53, 'UDP')",1727357863.121893,[80],[0],streaming_spotify.pcap
38,"('10.10.1.5', 53, '10.184.62.19', 64200, 'UDP')",1727357863.133413,[97],[1],streaming_spotify.pcap
39,"('10.10.1.5', 53, '10.184.62.19', 55420, 'UDP')","1727357863.133413,1727357863.228239","[81, 77]","[0, 1]",streaming_spotify.pcap
40,"('10.184.62.19', 61297, '35.186.224.24', 443, 'TCP')","1727357863.133755,1727357863.139521,1727357863.139920,1727357863.139920,1727357863.139920,1727357863.139920,1727357863.149801,1727357863.150558,1727357863.150708,1727357863.150814,1727357863.155064,1727357863.155150,1727357863.193574,1727357863.274107,1727357863.275234,1727357863.309247,1727357863.309270,1727357863.324529,1727357863.324836,1727357863.484539,1727357863.484940,1727357877.264739,1727357877.269570","[66, 54, 590, 590, 590, 177, 54, 118, 146, 310, 54, 85, 362, 54, 93, 246, 418, 54, 93, 54, 93, 54, 54]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1]",streaming_spotify.pcap
