index,connection,timestamps,sizes,directions,file_name
13,"('20.50.73.9', 443, '10.184.62.19', 60365, 'TCP')","1727356450.986815,1727356451.140972,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.296592,1727356451.448290,1727356451.448290,1727356451.617851,1727356451.617851,1727356451.617851,1727356451.617851,1727356451.617949,1727356451.640389","[66, 153, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 546, 54, 54, 54, 54, 157, 500]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0]",streaming_youtube.pcap
14,"('10.184.62.19', 60367, '20.189.173.25', 443, 'TCP')","1727356451.786256,1727356452.022754,1727356452.023439,1727356452.260028,1727356452.261822,1727356452.500984,1727356452.739538,1727356452.741371,1727356452.753324,1727356452.753374,1727356452.753584,1727356452.753584,1727356452.753584,1727356452.753653,1727356452.988180,1727356452.992234,1727356452.992318,1727356453.224218,1727356456.552706,1727356456.553712,1727356456.553712,1727356456.553712,1727356456.554018,1727356456.791714,1727356516.900621","[66, 54, 366, 54, 437, 54, 54, 128, 134, 350, 590, 590, 381, 85, 54, 54, 85, 54, 127, 590, 590, 291, 85, 54, 54]","[0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1]",streaming_youtube.pcap
15,"('20.189.173.25', 443, '10.184.62.19', 60367, 'TCP')","1727356452.022693,1727356452.259967,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.500873,1727356452.739505,1727356452.739505,1727356452.988108,1727356452.989182,1727356452.989182,1727356452.992167,1727356453.224172,1727356453.272613,1727356456.789701,1727356456.791653","[66, 153, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 590, 553, 157, 54, 54, 116, 363, 54, 54, 153]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",streaming_youtube.pcap
16,"('10.184.62.19', 49410, '20.198.118.190', 443, 'TCP')","1727356482.108538,1727356485.111908,1727356488.113629,1727356491.128130,1727356494.138219,1727356497.151375,1727356500.152592,1727356503.157536,1727356506.158113,1727356509.169773,1727356512.181950","[55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 54]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",streaming_youtube.pcap
17,"('10.184.62.19', 60380, '117.18.232.200', 443, 'TCP')","1727356507.133445,1727356507.140930,1727356507.142088,1727356507.142088,1727356507.142088,1727356507.142088,1727356507.149461,1727356507.149461,1727356507.157107,1727356507.158121,1727356507.160745,1727356507.160989,1727356507.161205,1727356507.173263,1727356507.173957,1727356552.231008,1727356597.264211,1727356642.276706","[66, 54, 590, 590, 590, 545, 590, 431, 54, 54, 128, 146, 484, 54, 85, 55, 55, 55]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",streaming_youtube.pcap
18,"('117.18.232.200', 443, '10.184.62.19', 60380, 'TCP')","1727356507.140873,1727356507.148186,1727356507.148186,1727356507.148186,1727356507.148683,1727356507.156423,1727356507.156423,1727356507.157077,1727356507.157077,1727356507.157077,1727356507.157077,1727356507.157077,1727356507.157077,1727356507.157077,1727356507.158097,1727356507.158097,1727356507.158097,1727356507.158097,1727356507.158097,1727356507.173230,1727356507.173230,1727356507.173230,1727356507.173230,1727356507.223199,1727356552.257294,1727356597.271015,1727356642.283300","[66, 54, 54, 54, 153, 54, 590, 590, 590, 590, 590, 590, 590, 398, 590, 590, 590, 590, 263, 309, 309, 193, 398, 54, 66, 66, 66]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]",streaming_youtube.pcap
19,"('10.184.62.19', 60381, '117.18.232.200', 443, 'TCP')","1727356508.099177,1727356508.106811,1727356508.108209,1727356508.108209,1727356508.108209,1727356508.108209,1727356508.115998,1727356508.115998,1727356508.123606,1727356508.124555,1727356508.125458,1727356508.125696,1727356508.125895,1727356508.131585,1727356508.132020,1727356508.177232,1727356553.181906,1727356598.194828,1727356643.263877","[66, 54, 590, 590, 590, 545, 590, 431, 54, 54, 128, 146, 371, 54, 85, 54, 55, 55, 55]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",streaming_youtube.pcap
20,"('117.18.232.200', 443, '10.184.62.19', 60381, 'TCP')","1727356508.106740,1727356508.114881,1727356508.114881,1727356508.114881,1727356508.114881,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.123548,1727356508.124531,1727356508.124531,1727356508.124531,1727356508.124531,1727356508.124531,1727356508.131547,1727356508.131547,1727356508.131547,1727356508.133897,1727356508.180880,1727356553.188713,1727356598.260023,1727356643.276775","[66, 54, 54, 54, 153, 54, 590, 590, 590, 590, 590, 590, 590, 398, 590, 590, 590, 590, 263, 309, 309, 193, 398, 54, 66, 66, 66]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",streaming_youtube.pcap
21,"('10.184.62.19', 56999, '216.58.200.195', 443, 'UDP')","1727356522.409298,1727356522.409320,1727356522.710899,1727356523.318057,1727356524.521832,1727356526.410416","[1292, 1292, 1292, 1292, 1292, 1292]","[1, 1, 1, 1, 1, 1]",streaming_youtube.pcap
22,"('10.184.62.19', 60384, '216.58.200.195', 443, 'TCP')","1727356522.409449,1727356522.414360,1727356522.414644,1727356522.414644,1727356522.414644,1727356522.414644,1727356522.482820,1727356522.482999,1727356522.488863,1727356522.488984,1727356522.489056,1727356522.493323,1727356522.493546,1727356522.540627,1727356522.728009,1727356522.728763,1727356522.728822,1727356522.729834,1727356522.729902,1727356522.987569,1727356522.987936,1727356567.992363,1727356612.997958,1727356654.385683,1727356654.391307","[66, 54, 590, 590, 590, 173, 54, 54, 128, 146, 379, 54, 85, 54, 54, 93, 89, 145, 502, 54, 89, 55, 55, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]",streaming_youtube.pcap
