index,connection,timestamps,sizes,directions,file_name
1,"('10.184.62.19', 60518, '162.159.152.17', 443, 'TCP')","1727357174.994584,1727357220.028588,1727357259.781468,1727357259.781691","[55, 55, 54, 54]","[0, 0, 1, 0]",streaming_amazon-prime.pcap
2,"('162.159.152.17', 443, '10.184.62.19', 60518, 'TCP')","1727357175.022908,1727357220.057003,1727357259.781424,1727357259.781424,1727357259.809710","[66, 66, 93, 54, 54]","[0, 1, 1, 0, 1]",streaming_amazon-prime.pcap
3,"('10.184.62.19', 60685, '18.67.202.85', 443, 'TCP')","1727357177.207824,1727357177.236210,1727357177.236793,1727357177.236793,1727357177.236793,1727357177.236793,1727357177.265093,1727357177.265255,1727357177.265620,1727357177.266662,1727357177.268349,1727357177.268483,1727357177.268610,1727357177.268610,1727357177.268610,1727357177.268610,1727357177.296929,1727357177.297181,1727357177.499716,1727357177.500747,1727357177.501726,1727357177.501931,1727357177.502697,1727357177.503553,1727357177.621463,1727357177.623288,1727357177.624434,1727357177.625516,1727357177.625608,1727357177.626442,1727357177.627140,1727357177.627791,1727357177.628681,1727357177.629704,1727357177.630525,1727357177.631084,1727357177.631794,1727357177.632660,1727357177.633639,1727357177.634693,1727357177.635490,1727357177.635885,1727357177.637203,1727357177.637630,1727357177.638460,1727357177.639051,1727357177.650194,1727357177.650653,1727357177.652432,1727357177.653475,1727357177.654453,1727357177.698355,1727357178.307380,1727357178.307927,1727357178.308879,1727357178.309608,1727357178.359810,1727357178.430411,1727357178.431694,1727357178.432042,1727357178.432986,1727357178.435628,1727357178.547713,1727357178.548746,1727357178.549765,1727357178.550648,1727357178.551639,1727357178.552137,1727357178.553430,1727357178.554860,1727357178.555144,1727357178.555542,1727357178.556600,1727357178.557843,1727357178.557890,1727357178.559091,1727357178.559130,1727357178.560176,1727357178.563927,1727357178.564029,1727357178.565064,1727357178.566561,1727357178.566725,1727357178.567235,1727357178.568679,1727357178.568736,1727357178.569918,1727357178.570483,1727357178.571578,1727357178.572035,1727357178.668466,1727357178.668770,1727357178.669855,1727357178.670751,1727357178.671567,1727357178.672646,1727357178.673576,1727357178.674235,1727357178.675154,1727357178.676054,1727357178.677239,1727357178.678002,1727357178.678843,1727357178.679781,1727357178.680612,1727357178.740072,1727357178.740072,1727357178.740072,1727357178.758640,1727357178.758770,1727357178.758770,1727357178.913343,1727357179.025493,1727357179.038016,1727357179.038860,1727357179.084766,1727357179.424407,1727357179.424407,1727357179.424407,1727357179.424537,1727357179.424537,1727357179.424628,1727357179.424628,1727357179.424628,1727357179.424810,1727357179.424810,1727357179.424881,1727357179.424881,1727357179.530269,1727357179.555854,1727357179.742175,1727357179.743543,1727357179.744454,1727357179.745554,1727357179.780778,1727357179.781231,1727357179.782417,1727357179.782640,1727357179.795496,1727357179.795562,1727357179.796445,1727357179.796607,1727357179.797426,1727357179.798214,1727357179.869432,1727357179.869643,1727357179.870603,1727357179.900011,1727357179.900540,1727357179.901329,1727357179.902151,1727357179.903075,1727357179.904006,1727357179.904837,1727357179.905849,1727357179.908237,1727357179.914740,1727357179.915205,1727357179.916064,1727357179.916964,1727357179.917854,1727357179.918838,1727357179.919633,1727357179.920516,1727357179.922883,1727357180.019297,1727357180.019457,1727357180.020510,1727357180.021490,1727357180.022252,1727357180.023151,1727357180.024067,1727357180.024933,1727357180.026288,1727357180.034552,1727357180.035355,1727357180.036384,1727357180.055321,1727357180.102148,1727357180.103868,1727357180.103954,1727357180.104381,1727357180.105449,1727357180.106402,1727357180.138546,1727357180.138661,1727357180.139527,1727357180.140312,1727357180.229066,1727357180.230355,1727357180.230375,1727357180.230813,1727357180.231948,1727357180.233170,1727357180.233614,1727357180.234752,1727357180.235607,1727357180.262483,1727357180.262582,1727357180.263400,1727357180.272490,1727357180.354036,1727357190.991675,1727357190.991731,1727357191.065770,1727357191.461585,1727357191.461849,1727357191.463703,1727357191.464964,1727357191.465561,1727357191.465823,1727357191.466520,1727357191.467266,1727357191.467573,1727357191.518432,1727357191.580552,1727357191.581604,1727357191.581864,1727357191.582101,1727357191.583273,1727357191.583835,1727357191.585078,1727357191.585824,1727357191.586776,1727357191.586851,1727357191.707241,1727357191.707241,1727357191.900743,1727357191.901591,1727357191.902539,1727357191.955162,1727357192.021633,1727357192.022011,1727357192.023221,1727357192.023747,1727357192.024799,1727357192.025847,1727357192.026878,1727357192.027445,1727357192.029051,1727357192.029090,1727357192.142221,1727357192.143277,1727357192.144137,1727357192.145238,1727357192.145712,1727357192.146691,1727357192.147495,1727357192.149325,1727357192.154118,1727357192.154209,1727357192.155114,1727357192.155381,1727357192.157866,1727357192.248396,1727357192.248396,1727357192.248396,1727357192.262745,1727357192.262856,1727357192.263150,1727357192.264142,1727357192.264956,1727357192.266108,1727357192.266644,1727357192.267476,1727357192.268376,1727357192.269541,1727357192.269956,1727357192.271277,1727357192.271843,1727357192.272585,1727357192.273415,1727357192.274187,1727357192.275413,1727357192.276446,1727357192.276551,1727357192.277616,1727357192.278510,1727357192.279569,1727357192.280648,1727357192.281099,1727357192.282266,1727357192.283680,1727357192.283869,1727357192.284503,1727357192.284660,1727357192.285475,1727357192.286680,1727357192.287628,1727357192.288388,1727357192.289373,1727357192.290087,1727357192.382999,1727357192.383200,1727357192.384310,1727357192.384717,1727357192.384778,1727357192.385549,1727357192.385886,1727357192.386823,1727357192.387941,1727357192.388870,1727357192.389256,1727357192.577528,1727357192.577528,1727357192.577528,1727357192.577528,1727357192.587582,1727357192.587582,1727357192.591284,1727357192.591358,1727357192.592277,1727357192.592793,1727357192.593212,1727357192.593479,1727357192.594382,1727357192.710889,1727357192.711374,1727357192.711751,1727357192.712187,1727357192.712925,1727357192.713936,1727357192.714818,1727357192.747393,1727357192.766112,1727357235.140691,1727357235.140731,1727357235.140755,1727357235.225205,1727357235.415857,1727357235.416535,1727357235.419328,1727357235.426554,1727357235.627923,1727357235.718967,1727357235.719024,1727357235.719024,1727357235.719024,1727357235.719024,1727357235.719024,1727357235.719024,1727357235.719024,1727357235.923913,1727357236.319182,1727357236.319213,1727357236.341177,1727357236.561281,1727357236.620184,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.620220,1727357236.882028,1727357237.220167,1727357237.220196,1727357237.220196,1727357237.414019,1727357237.518883,1727357237.518911,1727357237.716502,1727357239.766675,1727357239.766675,1727357239.766675,1727357239.766675,1727357239.917455,1727357239.942795,1727357240.091993,1727357240.740466,1727357241.550756,1727357241.551480,1727357241.669116,1727357241.671725,1727357241.673468,1727357241.791234,1727357241.792826,1727357241.850305,1727357241.850305,1727357241.850305,1727357241.850305,1727357241.917906,1727357242.022391,1727357242.022457,1727357242.187041,1727357242.187135,1727357242.187590,1727357242.213843,1727357242.311853,1727357242.311949,1727357242.312148,1727357242.313411,1727357242.313829,1727357242.314051,1727357242.316990,1727357242.359683,1727357242.359683,1727357242.359683,1727357242.359950,1727357242.359950,1727357242.360095,1727357242.360095,1727357242.360095,1727357242.360129,1727357242.360129,1727357242.437670,1727357242.438009,1727357242.439311,1727357242.439761,1727357242.441046,1727357242.660280,1727357242.660333,1727357242.661244,1727357242.661418,1727357242.662558,1727357242.663740,1727357242.664593,1727357242.781119,1727357242.787228,1727357242.787356,1727357242.788364,1727357242.788533,1727357242.789719,1727357242.790681,1727357242.925541,1727357242.925789,1727357242.927314,1727357242.990108,1727357242.990454,1727357243.045554,1727357243.045786,1727357243.046104,1727357243.046320,1727357243.047149,1727357243.048335,1727357243.048663,1727357243.109842,1727357243.109922,1727357243.110151,1727357243.111325,1727357243.111928,1727357243.112952,1727357243.163971,1727357246.190857,1727357246.190913,1727357246.190913,1727357246.190913,1727357246.190913,1727357246.190913,1727357246.190913,1727357246.190913,1727357246.954565,1727357246.955243,1727357247.071296,1727357247.073333,1727357247.075409,1727357247.188370,1727357247.188591,1727357247.188656,1727357247.189832,1727357247.190287,1727357247.192007,1727357247.192080,1727357247.193516,1727357247.194091,1727357247.194921,1727357247.195767,1727357247.199202,1727357247.199438,1727357247.307073,1727357247.307289,1727357247.308275,1727357247.309025,1727357247.309220,1727357247.310439,1727357247.310753,1727357247.312026,1727357247.312443,1727357247.313793,1727357247.387784,1727357247.387784,1727357247.387784,1727357247.387917,1727357247.387917,1727357247.387917,1727357247.739218,1727357247.740279,1727357247.740610,1727357247.742108,1727357247.860329,1727357247.860465,1727357247.861056,1727357247.862318,1727357247.865105,1727357247.867329,1727357247.867902,1727357247.867980,1727357247.868981,1727357247.870049,1727357247.881040,1727357247.881040,1727357247.881288,1727357247.881288,1727357247.881475,1727357247.881475,1727357247.881510,1727357247.881510,1727357247.983416,1727357247.983683,1727357247.985052,1727357247.985410,1727357247.986054,1727357247.987350,1727357247.989188,1727357247.991187,1727357247.992872,1727357247.994784,1727357247.996079,1727357248.167500,1727357248.167901,1727357248.168350,1727357248.169489,1727357248.206152,1727357248.206808,1727357248.206911,1727357248.208671,1727357248.210314,1727357248.251382,1727357248.251697,1727357248.252049,1727357248.363128,1727357248.440636,1727357248.443731,1727357248.444137,1727357248.444558,1727357248.501460,1727357248.501777,1727357248.502175,1727357248.567651,1727357248.568035,1727357248.569002,1727357248.569684,1727357248.569962,1727357248.613246,1727357264.497256,1727357264.497256,1727357264.497256,1727357264.497275,1727357264.573049,1727357264.933981,1727357264.934844,1727357265.054009,1727357265.055776,1727357265.058112,1727357265.172943,1727357265.708764,1727357265.708764,1727357266.071683,1727357266.190995,1727357266.191192,1727357266.191559,1727357266.194000,1727357266.194338,1727357266.194587,1727357266.195773,1727357266.322801,1727357266.323782,1727357311.331595,1727357317.521317,1727357317.521332,1727357317.601444,1727357317.801102,1727357317.801824,1727357317.810851,1727357317.923932,1727357317.923985,1727357317.923985,1727357317.923985,1727357318.003126,1727357318.122265,1727357318.222709,1727357318.222765,1727357318.222765,1727357318.222765,1727357318.222765,1727357318.412302,1727357318.519566,1727357318.519615,1727357318.710340,1727357318.715024,1727357318.818692,1727357318.818723,1727357318.818723,1727357318.898856,1727357319.009363,1727357319.130781,1727357319.130884,1727357319.130884,1727357319.130884,1727357319.130884,1727357319.130884,1727357319.130884,1727357319.130884,1727357319.130884,1727357319.325464,1727357319.426619,1727357319.426668,1727357319.426668,1727357319.614322,1727357319.719385,1727357319.719436,1727357319.912373,1727357323.016932,1727357323.458956,1727357323.460024,1727357323.579825,1727357323.581336,1727357323.581635,1727357323.906616,1727357323.906679,1727357324.097761,1727357324.144548,1727357324.144548,1727357324.144548,1727357324.144548,1727357324.439804,1727357330.727755,1727357330.727817,1727357330.727817,1727357330.727817,1727357330.727817,1727357330.727817,1727357330.727817,1727357331.100769,1727357331.100934,1727357331.101615,1727357352.095778,1727357352.095792,1727357352.174312,1727357352.633857,1727357352.634697,1727357352.635889,1727357352.636312,1727357359.531227,1727357360.403510,1727357360.404978,1727357360.527207,1727357360.529179,1727357360.529928,1727357360.531582,1727357360.648636,1727357360.649342,1727357360.650008,1727357360.650181,1727357360.651177,1727357360.652211,1727357360.653590,1727357360.653848,1727357360.654545,1727357360.702870,1727357360.702870,1727357360.702870,1727357360.702870,1727357360.703041,1727357360.703041,1727357360.703041,1727357361.039028,1727357361.039234,1727357361.039668,1727357361.039866,1727357361.040178,1727357361.041558,1727357361.042523,1727357361.043639,1727357361.043793,1727357361.045023,1727357361.046357,1727357361.047632,1727357361.047684,1727357361.048702,1727357361.048853,1727357361.049891,1727357361.050442,1727357361.051743,1727357361.072995,1727357361.073738,1727357361.074520,1727357361.194823,1727357361.195025,1727357361.195699,1727357361.195891,1727357361.196951,1727357361.196951,1727357361.196951,1727357361.197273,1727357361.198772,1727357361.199358,1727357361.321809,1727357361.321898,1727357361.322463,1727357361.323533,1727357361.325240,1727357361.325313,1727357361.326661,1727357361.327152,1727357361.327302,1727357361.328107,1727357361.518010,1727357361.518225,1727357361.521697,1727357361.833666,1727357361.833666,1727357362.118293,1727357362.118466,1727357362.119429,1727357362.119526,1727357365.262146,1727357365.290832","[66, 54, 590, 590, 590, 174, 54, 54, 54, 54, 118, 146, 590, 590, 590, 144, 54, 85, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 92, 416, 590, 522, 54, 54, 54, 54, 54, 590, 590, 114, 590, 366, 590, 590, 367, 590, 363, 590, 388, 293, 281, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 433, 93, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 556, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 101, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 590, 511, 590, 122, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 346, 93, 479, 54, 54, 89, 54, 360, 54, 204, 590, 590, 590, 590, 590, 590, 438, 54, 166, 423, 165, 54, 166, 590, 590, 590, 590, 590, 590, 590, 590, 320, 54, 166, 590, 89, 54, 166, 328, 54, 590, 590, 590, 323, 400, 54, 54, 405, 54, 89, 54, 54, 54, 54, 54, 590, 590, 590, 150, 590, 203, 215, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 139, 590, 582, 590, 590, 203, 590, 367, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 180, 590, 590, 590, 590, 590, 590, 409, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 535, 590, 590, 530, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 325, 590, 311, 590, 530, 590, 287, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 315, 93, 54, 54, 89, 54, 54, 54, 54, 590, 471, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 55, 325, 93, 54, 54, 89, 196, 182, 590, 590, 191, 54, 54, 186, 590, 590, 590, 288, 54, 166, 423, 165, 54, 166, 590, 180, 54, 54, 317, 590, 590, 590, 590, 590, 590, 590, 236, 54, 179, 590, 89, 54, 268, 328, 54, 228, 54, 89, 54, 54, 54, 207, 215, 54, 590, 590, 590, 99, 54, 180, 590, 590, 590, 590, 590, 55, 54, 54, 89, 445, 93, 54, 54, 54, 89, 54, 444, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 590, 162, 590, 590, 576, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 590, 233, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 590, 60, 54, 54, 54, 54, 54, 54]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1]",streaming_amazon-prime.pcap
